step,train_with_grad_loss,train_without_grad_loss,train_masked_accuracy,validation_loss,validation_masked_accuracy,test_loss,test_masked_accuracy
0,,1.62890625,0.14674116635273385,1.63125,0.1482770711479925,1.62734375,0.15085346084853166
10,1.5953125,1.565625,0.3000511789628082,1.5703125,0.2949178553461357,1.56875,0.2936677727695427
20,1.55625,1.5234375,0.3130411383889707,1.52734375,0.30713410946861325,1.52890625,0.3052945570591553
30,1.5171875,1.48671875,0.3224591227820251,1.48984375,0.3179681584657523,1.48984375,0.31603713659947047
40,1.484375,1.45625,0.3302151099292464,1.459375,0.3271811654225127,1.4609375,0.3241779182567954
50,1.44609375,1.42265625,0.33619830001424567,1.42578125,0.3335992723096546,1.42734375,0.33023522895313207
60,1.42734375,1.39765625,0.34496203787243246,1.39765625,0.3424921361675314,1.4,0.33808635733051473
70,1.3953125,1.3703125,0.35491819280223286,1.37265625,0.3534837158958671,1.3734375,0.34897630432904614
80,1.3640625,1.34453125,0.3625317230426685,1.34609375,0.3610502726297977,1.34765625,0.35711200434988083
90,1.34296875,1.3265625,0.36920081675293226,1.328125,0.36771229806846994,1.33046875,0.36579143947516857
100,1.325,1.31484375,0.3721185452511726,1.31640625,0.36973478939157567,1.3203125,0.3675191958818418
110,1.3171875,1.30703125,0.3744031319414766,1.3078125,0.3726109956450375,1.3109375,0.37097979033167844
120,1.30703125,1.30078125,0.3770570513530768,1.30234375,0.3738000985837479,1.30546875,0.3731089960210786
130,1.2984375,1.29375,0.37977956112720346,1.2953125,0.37639681483024795,1.29765625,0.3753398344402831
140,1.290625,1.28828125,0.3820641478175074,1.28984375,0.37865814306839374,1.2921875,0.3781347345099016
150,1.2875,1.28515625,0.3839477446961183,1.28515625,0.3803350831101648,1.2890625,0.3791408985349642
160,1.28359375,1.28046875,0.38563084666888264,1.2828125,0.3809804509444221,1.2859375,0.38042147093049844
170,1.2796875,1.278125,0.3880367855390411,1.2796875,0.38435973921041533,1.28359375,0.3834348813691961
180,1.27734375,1.2765625,0.38923975497412033,1.27734375,0.3847408619471815,1.28125,0.3846493924903576
190,1.27421875,1.2734375,0.3915507225730883,1.27578125,0.3859502914318527,1.278125,0.38606208743463744
200,1.2765625,1.27109375,0.3932127198189214,1.27578125,0.3865550061741883,1.27734375,0.38742396601401513
210,1.2734375,1.26953125,0.39441568925400067,1.2734375,0.38777459893184,1.27578125,0.3890653346003547
220,1.27890625,1.26796875,0.3948588885195562,1.271875,0.3890297631449232,1.271875,0.3901985395376727
230,1.2703125,1.2671875,0.39747587465902673,1.27109375,0.389568416612886,1.271875,0.3911132341059115
240,1.26328125,1.26328125,0.39823564482855045,1.26875,0.3914486221142657,1.26875,0.39352701143876373
250,1.26640625,1.2609375,0.40065741224390733,1.26640625,0.39206350012958174,1.26796875,0.39446711418945357
260,1.26875,1.25859375,0.4020819813117643,1.265625,0.3937760116267843,1.26484375,0.39576293149445846
270,1.26796875,1.25625,0.40311083674966103,1.26484375,0.3928765619680162,1.2640625,0.39559015585379115
280,1.2609375,1.25390625,0.404830871994555,1.26328125,0.39541738021312384,1.26171875,0.3976939533607403
290,1.259375,1.2515625,0.40727374413684303,1.2625,0.3958391560418117,1.25859375,0.39973677122980683
300,1.25234375,1.246875,0.41062939571890616,1.25859375,0.398466362107253,1.25546875,0.40317703913368264
310,1.25390625,1.2453125,0.41328331513050637,1.25625,0.4002195266963773,1.25234375,0.4050623262715525
320,1.253125,1.23984375,0.414797579287821,1.2546875,0.4003109961532012,1.25078125,0.40642420485093017
330,1.25,1.2375,0.41678142361935516,1.253125,0.4014899358189311,1.24765625,0.40777592015732744
340,1.2484375,1.234375,0.4181637832333497,1.25078125,0.40289246749023055,1.24296875,0.4098136563899038
350,1.240625,1.23203125,0.4209970928238652,1.2484375,0.40471677499021785,1.2421875,0.41245610736481575
360,1.2421875,1.23046875,0.4228120993399497,1.24765625,0.40607865356959555,1.23984375,0.4135130877547806
370,1.2359375,1.22578125,0.4242999825886003,1.24609375,0.4063530619400672,1.23671875,0.414585313054216
380,1.2375,1.2234375,0.425677066020862,1.2421875,0.4071203890500897,1.234375,0.41583539563080896
390,1.2265625,1.221875,0.42581952292764774,1.2421875,0.4067850010417355,1.23046875,0.416191110185124
400,1.23046875,1.2171875,0.428230737979539,1.23984375,0.4084416145375457,1.22890625,0.41799000950266024
410,1.2359375,1.21484375,0.43011433485814987,1.2375,0.410220187309121,1.22578125,0.4198448068215888
420,1.2203125,1.2125,0.4314597612000148,1.2359375,0.4117497598926758,1.22421875,0.42067819520598415
430,1.20625,1.20859375,0.4321878742791417,1.23515625,0.41141945352081183,1.22109375,0.42164878777561526
440,1.2265625,1.20546875,0.4339764998865621,1.2328125,0.41287280155701345,1.2171875,0.4229903398090321
450,1.221875,1.2015625,0.4356121162237312,1.23203125,0.4124662706377962,1.215625,0.4245808920304695
460,1.21640625,1.20078125,0.43607642021621795,1.23125,0.4129490261043666,1.21484375,0.422751502893992
470,1.2171875,1.19921875,0.43674121911455116,1.22734375,0.413406373388486,1.21171875,0.42600883188422
480,1.21171875,1.19609375,0.4388042061720774,1.2265625,0.41533739525476787,1.21015625,0.4270099142727924
490,1.2109375,1.1953125,0.4391260532577784,1.2265625,0.4143871292310976,1.20859375,0.4273605471906173
500,1.2109375,1.19296875,0.4405664508708338,1.22421875,0.4152967421628461,1.20625,0.42870718086052434
510,1.215625,1.18984375,0.440023004152355,1.2234375,0.4163232327338696,1.20625,0.42899175250397636
520,1.21328125,1.18828125,0.44304098010351867,1.221875,0.4171464578452845,1.20390625,0.4311870194677494
530,1.2015625,1.18828125,0.4433681033709525,1.22109375,0.4177105194956984,1.20234375,0.43100408055410167
540,1.2125,1.1875,0.44223900048013254,1.22109375,0.4177765807700712,1.20234375,0.4308567130958854
550,1.19921875,1.18515625,0.44414370208567466,1.21875,0.4187522549761925,1.1984375,0.4314817543841819
560,1.190625,1.18515625,0.4439748642702249,1.21875,0.418833561160036,1.1984375,0.43183238730200674
570,1.184375,1.18359375,0.4436846742749207,1.21875,0.4178782134998755,1.1984375,0.43213220385492945
580,1.1828125,1.18125,0.44615392732587283,1.21796875,0.41952974535919546,1.19765625,0.4330519800596584
590,1.19453125,1.18046875,0.4467237549530156,1.2171875,0.4197228475458237,1.19609375,0.43405814408472104
600,1.19609375,1.1796875,0.4467290311347484,1.215625,0.41925533698872386,1.19453125,0.4339666746278972
610,1.2,1.178125,0.44734634439748644,1.21328125,0.42067311356949394,1.19453125,0.43468826700950774
620,1.2,1.175,0.449050551097182,1.2125,0.4202360928313354,1.19296875,0.4351811857490586
630,1.19140625,1.175,0.4477895436630419,1.2125,0.4205968890221407,1.19140625,0.43456122609725234
640,1.1921875,1.175,0.4486442851037561,1.21171875,0.42130323649428064,1.18984375,0.43498808356243046
650,1.184375,1.1765625,0.44691369749539656,1.21171875,0.42084080757367104,1.19140625,0.43518626738554883
660,1.17890625,1.17734375,0.4451303480697089,1.21171875,0.42021576628537455,1.1890625,0.43582147194682574
670,1.1953125,1.17109375,0.4499052925378962,1.21015625,0.4223551352477552,1.1890625,0.4363143906863766
680,1.18671875,1.1703125,0.4501743778062692,1.21015625,0.42128290994831974,1.18828125,0.43650749287300483
690,1.19375,1.16953125,0.45157256596546214,1.21015625,0.422421196522128,1.18671875,0.43783888163344126
700,1.1953125,1.17109375,0.44825384765552867,1.21015625,0.42135913449567297,1.18671875,0.43697500343010465
710,1.1953125,1.17890625,0.44709308767431183,1.21015625,0.42337146254579827,1.18671875,0.43799641236463793
720,1.20625,1.1765625,0.44638607932211616,1.21015625,0.4221315432421857,1.18671875,0.4373002281654784
730,1.184375,1.171875,0.44911914145970844,1.209375,0.42270576816558003,1.18515625,0.4381539430958346
740,1.184375,1.17109375,0.4497944927215073,1.20859375,0.4238440547393883,1.184375,0.4388907803869158
750,1.17734375,1.1875,0.44500899588985443,1.209375,0.42237546179371604,1.1859375,0.43782363672397057
760,1.18046875,1.18984375,0.4445552442608333,1.20625,0.4242912387505272,1.1828125,0.43879931093009195
770,1.1859375,1.17890625,0.44808500984007893,1.20546875,0.4233867074552689,1.18359375,0.43934304603454494
780,1.18515625,1.178125,0.4483699236536503,1.20625,0.42442844293576304,1.1828125,0.4389568416612886
790,1.1859375,1.178125,0.44808500984007893,1.20546875,0.4234476870931515,1.18125,0.43902798457215164
800,1.17421875,1.17578125,0.448755084920145,1.2046875,0.42512462713492255,1.18046875,0.4401865976919207
810,1.19375,1.1796875,0.44688731658673253,1.2046875,0.4238338914664078,1.18046875,0.43936337258050584
