step,train_with_grad_loss,train_without_grad_loss,train_masked_accuracy,validation_loss,validation_masked_accuracy,test_loss,test_masked_accuracy
0,,2.1890625,0.0,2.1890625,0.0,2.1875,0.0
10,1.45078125,1.36484375,0.3419493381030016,1.3671875,0.33666858074974465,1.36953125,0.3355607839948777
20,1.30703125,1.321875,0.35968258490695454,1.321875,0.35326012389029765,1.3265625,0.35057701982346395
30,1.29375,1.29921875,0.3711899372661992,1.29765625,0.3655932556520502,1.30390625,0.3645769283540071
40,1.2875,1.2828125,0.3837578021537374,1.28359375,0.3769913662996031,1.2875,0.37890206161992407
50,1.28359375,1.2796875,0.39023695332162023,1.28203125,0.38118371640403076,1.284375,0.38373977955860905
60,1.2796875,1.27578125,0.3928275585524268,1.28046875,0.38366863664774603,1.28125,0.38629584271318734
70,1.27421875,1.271875,0.39280645382549556,1.2765625,0.38297753408507673,1.27734375,0.3876018232911727
80,1.27109375,1.2671875,0.4003619460668703,1.2734375,0.38904500805439385,1.27109375,0.39411648127162874
90,1.27421875,1.27578125,0.39717513230025697,1.28359375,0.38370420810317757,1.28359375,0.3898021718914359
100,1.27109375,1.2765625,0.3830455176198089,1.28359375,0.3733020982077068,1.28203125,0.37889189834694365
110,1.265625,1.2609375,0.40402889237116885,1.271875,0.39013755989979015,1.26796875,0.3961440542312246
120,1.26328125,1.2578125,0.40971661627913114,1.26953125,0.3949397063830436,1.2640625,0.40193203819357987
130,1.25625,1.24921875,0.4147026080166305,1.26328125,0.39644387078414733,1.259375,0.40481840772002214
140,1.2546875,1.24609375,0.41783138378418305,1.2625,0.3978667290014076,1.25859375,0.40780640997626877
150,1.2546875,1.2484375,0.4117426700645277,1.26640625,0.3897666004360044,1.259375,0.3997926692311992
160,1.24921875,1.23515625,0.4197624662983892,1.25546875,0.3983698110139389,1.24765625,0.4070898992311484
170,1.25,1.23359375,0.4205116841044473,1.25625,0.39765330026881857,1.24609375,0.407293164690757
180,1.2375,1.22421875,0.42474318185415577,1.24921875,0.39957415886211994,1.23828125,0.4109570246002022
190,1.228125,1.2203125,0.43359133862006743,1.2453125,0.4056670410138881,1.23203125,0.4181119687784254
200,1.2328125,1.209375,0.4358759253103714,1.23984375,0.4087211045445075,1.225,0.4210339097602992
